player_id,first,last,suffix,position,position_detailed,number,class,picture
CSU_001,Toby,McBride,,DL,,0,R-Sr.,https://csurams.com/images/2020/9/26/McBride_Toby.jpg?width=300
CSU_002,Scott,Patchan,,DL,,1,Gr.,https://csurams.com/images/2020/9/26/Patchan_Scott.jpg?width=300
CSU_003,Justice,McCoy,,QB,,2,R-Jr.,https://csurams.com/images/2020/9/26/McCoy_Justice.jpg?width=300
CSU_004,E.J.,Scott,,WR,,3,R-Jr.,https://csurams.com/images/2020/9/26/Scott_E_J.jpg?width=300
CSU_005,Rashad,Ajayi,,DB,,4,Jr.,https://csurams.com/images/2020/10/11/Ajayi_Rashad.jpg?width=300
CSU_006,Dequan,Jackson,,LB,,5,Jr.,https://csurams.com/images/2020/9/26/Jackson_Dequan.jpg?width=300
CSU_007,Ty,McCullouch,,WR,,6,So.,https://csurams.com/images/2020/9/26/McCullouch_Ty.jpg?width=300
CSU_008,Todd,Centeio,,QB,,7,R-Jr.,https://csurams.com/images/2020/9/26/Centeio_Todd.jpg?width=300
CSU_009,Linwood,Crump,,DB,,7,Gr.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Rams-Logo-Reversed-one-color-768x769.jpeg
CSU_010,Logan,Stewart,,DB,,9,R-Sr.,https://csurams.com/images/2020/9/26/Stewart_Logan.jpg?width=300
CSU_011,Tywan,Francis,,DB,,10,Jr.,https://csurams.com/images/2020/9/26/Francis_Tywan.jpg?width=300
CSU_012,Chance,Harris,,QB,,10,Fr.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Rams-Logo-Reversed-one-color-768x769.jpeg
CSU_013,Henry,Blackburn,,DB,,11,Fr.,https://csurams.com/images/2020/9/26/Blackburn_Henry.jpg?width=300
CSU_014,Cam'ron,Carter,,LB,,12,Jr.,https://csurams.com/images/2020/9/26/Carter_Cam_Ron.jpg?width=300
CSU_015,Luke,McAllister,,QB,,13,Fr.,https://csurams.com/images/2021/2/27/Luke_McAllister.jpg?width=300
CSU_016,Brandon,Guzman,,DB,,14,Fr.,https://csurams.com/images/2020/9/26/Guzman_Brandon.jpg?width=300
CSU_017,Brandon,Hickerson-Rooks,,DL,,15,R-Jr.,https://csurams.com/images/2020/9/26/Hickerson_Rooks_Brandon.jpg?width=300
CSU_018,Jonah,O'Brien,,QB,,15,R-Fr.,https://csurams.com/images/2020/9/26/O_Brien_Jonah.jpg?width=300
CSU_019,Cameron,Butler,,TE,,16,Sr.,https://csurams.com/images/2020/9/26/Butler_Cameron.jpg?width=300
CSU_020,Jack,Howell,,DB,,17,Fr.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Ram-Logo-Pantone-357-617-768x768.jpg
CSU_021,Thomas,Pannunzio,,WR,,18,Jr.,https://csurams.com/images/2020/9/26/Pannunzio_Thomas.jpg?width=300
CSU_022,Branden,Coleman,,DB,,19,Fr.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Ram-Logo-Pantone-357-617-768x768.jpg
CSU_023,A'Jon,Vivens,,RB,,20,R-So.,https://csurams.com/images/2020/9/26/Vivens_A_Jon.jpg?width=300
CSU_024,Dante,Wright,,WR,,22,So.,https://csurams.com/images/2020/9/26/Wright_Dante.jpg?width=300
CSU_025,Mikell,Harvey,,DB,,23,R-So.,https://csurams.com/images/2020/9/26/Harvey_Mikell.jpg?width=300
CSU_026,Kyjuan,Herndon,,RB,,24,Fr.,https://csurams.com/images/2020/9/26/Herndon_Kyjuan.jpg?width=300
CSU_027,Marshaun,Cameron,,DB,,26,R-Sr.,https://csurams.com/images/2020/9/26/Cameron_Marshaun.jpg?width=300
CSU_028,Logan,Ludwig,,WR,,26,R-So.,https://csurams.com/images/2020/10/11/Ludwig_Logan.jpg?width=300
CSU_029,Jaylen,Thomas,,RB,,27,So.,https://csurams.com/images/2020/9/26/Thomas_Jaylen.jpg?width=300
CSU_030,Christian,Hunter,,RB,,28,So.,https://csurams.com/images/2020/9/26/Hunter_Christian.jpg?width=300
CSU_031,Chase,Wilson,,LB,,30,Fr.,https://csurams.com/images/2020/9/26/Wilson_Chase.jpg?width=300
CSU_032,Tanner,Hollens,,RB,,31,Fr.,https://csurams.com/images/2020/9/26/Hollens_Tanner.jpg?width=300
CSU_033,Marcus,McElroy,Jr.,RB,,32,Sr.,https://csurams.com/images/2020/9/26/McElroy_Marcus.jpg?width=300
CSU_034,Manny,Jones,,DL,,33,Sr.,https://csurams.com/images/2020/9/26/Jones_Manny.jpg?width=300
CSU_035,Titus,Jones,,DB,,34,R-Fr.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Ram-Logo-Pantone-357-617-768x768.jpg
CSU_036,Joe,DeLine,,K,,35,R-Sr.,https://csurams.com/images/2020/9/26/Deline_Joe.jpg?width=300
CSU_037,Aaron,Moore,,LB,,35,Fr.,https://csurams.com/images/2020/9/26/Moore_Aaron.jpg?width=300
CSU_038,Payton,Polson,,LB,,36,R-Fr.,https://csurams.com/images/2020/10/11/Polson_Payton.jpg?width=300
CSU_039,Blake,Beecher,,LB,,37,R-Fr.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Ram-Logo-Pantone-357-617-768x768.jpg
CSU_040,Griffin,Vanderwaerdt,,DB,,38,Fr.,https://csurams.com/images/2021/2/27/Vanderwaerdt_Griffin.jpg?width=300
CSU_041,Sanjay,Strickland,,LB,,39,Fr.,https://csurams.com/images/2020/10/11/Strickland_Sanjay.jpg?width=300
CSU_042,Dawson,Menegatti,,WR,,40,Fr.,https://csurams.com/images/2021/2/27/Menegatti_Dawson.jpg?width=300
CSU_043,Ryan,Stonehouse,,P,,41,Sr.,https://csurams.com/images/2020/9/26/Stonehouse_Ryan.jpg?width=300
CSU_044,Mohamed,Kamara,,LB,,42,So.,https://csurams.com/images/2020/9/26/Kamara_Mohamed.jpg?width=300
CSU_045,Troy,Golden,,LB,,43,R-So.,https://csurams.com/images/2020/9/26/Golden_Troy.jpg?width=300
CSU_046,Bam,Amina,,LB,,45,Fr.,https://csurams.com/images/2020/9/26/Amina_Bam.jpg?width=300
CSU_047,Devon,Edwards,,LB,,46,Fr.,https://csurams.com/images/2020/10/11/Edwards_Devon.jpg?width=300
CSU_048,David,Aggrey,,RB,,47,R-So.,https://csurams.com/images/2020/9/26/Aggrey_David.jpg?width=300
CSU_049,Brandon,Derrow,,DL,,49,R-So.,https://csurams.com/images/2019/6/26/Derrow_Brandon_2019Headshot.jpg?width=300
CSU_050,Anthony,Koclanakis,,LB,,49,Gr.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Ram-Logo-Pantone-357-617-768x768.jpg
CSU_051,Cian,Quiroga,,DL,,50,R-Fr.,https://csurams.com/images/2020/9/26/Quiroa_Cian.jpg?width=300
CSU_052,Owen,Snively,,OL,,50,Fr.,https://csurams.com/images/2020/9/26/Snively_Owen.jpg?width=300
CSU_053,Aidan,Cullen,,DL,,52,R-Fr.,https://csurams.com/images/2020/9/26/Cullen_Aidan.jpg?width=300
CSU_054,Adam,Korutz,,OL,,52,Gr.,https://csurams.com/images/2020/9/26/Korutz_Adam.jpg?width=300
CSU_055,Elijah,Johnson,,OL,,53,R-Jr.,https://csurams.com/images/2020/9/26/Johnson_Elijah.jpg?width=300
CSU_056,Cade,Plath,,LB,,53,R-Fr.,https://csurams.com/images/2020/9/26/Plath_Cade.jpg?width=300
CSU_057,Mike,Ciaffoni,,DL,,54,R-So.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Ram-Logo-Pantone-357-617-768x768.jpg
CSU_058,Tavian,Brown,,LB,,55,R-Fr.,https://csurams.com/images/2020/9/26/Brown_Tavian.jpg?width=300
CSU_059,Cam,Reddy,,OL,,55,R-So.,https://csurams.com/images/2020/9/26/Reddy_Cam.jpg?width=300
CSU_060,Ches,Jackson,,OL,,56,R-So.,https://csurams.com/images/2020/9/26/Jackson_Ches.jpg?width=300
CSU_061,Will,Drewes,,LB,,57,R-Fr.,https://csurams.com/images/2021/2/27/Will_Drewes.jpg?width=300
CSU_062,Grant,Stewartson,,DL,,59,Fr.,https://csurams.com/images/2021/2/27/Grant_Stewartson.jpg?width=300
CSU_063,Florian,McCann,,OL,,60,R-So.,https://csurams.com/images/2018/6/27/McCann_III_Florian_2018Headshot_Web.jpg?width=300
CSU_064,Alex,Azusenis,,OL,,63,R-Fr.,https://csurams.com/images/2020/10/11/Azusenis_Alex.jpg?width=300
CSU_065,Tautai,Li'o Marks,,OL,,65,Fr.,https://csurams.com/images/2020/10/11/Li_o_Marks_Tautai.jpg?width=300
CSU_066,Cameron,Bariteau,,DL,,68,Fr.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Ram-Logo-Pantone-357-617-768x768.jpg
CSU_067,Barry,Wesley,,OL,,69,R-Jr.,https://csurams.com/images/2020/10/11/Wesley_Barry.jpg?width=300
CSU_068,Joctavis,Phillips,,OL,,70,R-Jr.,https://csurams.com/images/2020/9/26/Phillips_Joctavis.jpg?width=300
CSU_069,Brian,Crespo-Jaquez,,OL,,71,Fr.,https://csurams.com/images/2020/9/26/Crespo_Jaquez_Brian.jpg?width=300
CSU_070,Dirk,Nelson,,OL,,72,Fr.,https://csurams.com/images/2020/10/11/Nelson_Dirk.jpg?width=300
CSU_071,Gage,Gaynor,,OL,,73,Fr.,https://csurams.com/images/2020/10/11/Gaynor_Gage.jpg?width=300
CSU_072,Vincent,Picozzi,,OL,,76,Gr.,https://csurams.com/images/2021/2/27/Vince_Picozzi.jpg?width=300
CSU_073,Keith,Williams,,OL,,77,R-Sr.,https://csurams.com/images/2020/9/26/Williams_Keith.jpg?width=300
CSU_074,Tex,Elliott,,OL,,79,Fr.,https://csurams.com/images/2020/10/11/Elliott_Tex.jpg?width=300
CSU_075,Dane,Olson,,WR,,81,R-Fr.,https://csurams.com/images/2020/9/26/Olson_Dane.jpg?width=300
CSU_076,Dylan,Walker,,TE,,82,Fr.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Ram-Logo-Pantone-357-617-768x768.jpg
CSU_077,Chris,McEahern,,WR,,83,R-Fr.,https://csurams.com/images/2020/9/26/McEahern_Chris.jpg?width=300
CSU_078,Gary,Williams,,TE,,84,R-So.,https://csurams.com/images/2020/9/26/Williams_Gary.jpg?width=300
CSU_079,Trey,McBride,,TE,,85,Jr.,https://csurams.com/images/2020/9/26/McBride_Trey.jpg?width=300
CSU_080,Ross,Reiter,,LS,,86,Jr.,https://csurams.com/images/2020/9/26/Reiter_Ross.jpg?width=300
CSU_081,Brian,Polendey,,TE,,88,R-Jr.,https://csurams.com/images/2020/9/26/Polendey_Brian.jpg?width=300
CSU_082,Kyle,Helbig,,TE,,89,R-Fr.,https://csurams.com/images/2020/9/26/Helbig_Kyle.jpg?width=300
CSU_083,Casey,Irons ,Jr.,DL,,90,Fr.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Ram-Logo-Pantone-357-617-768x768.jpg
CSU_084,James,Mitchell,,DL,,91,Fr.,https://csurams.com/images/2020/10/11/Mitchell_James.jpg?width=300
CSU_085,Mukendi,Wa-Kalonji,,DL,,92,Fr.,https://brand.colostate.edu/wp-content/uploads/sites/47/2019/01/Ram-Logo-Pantone-357-617-768x768.jpg
CSU_086,Jonathan,Terry,,K,,93,R-So.,https://csurams.com/images/2020/9/26/Terry_Jonathan.jpg?width=300
CSU_087,Devin,Phillips,,DL,,94,Jr.,https://csurams.com/images/2020/9/26/Phillips_Devin.jpg?width=300
CSU_088,Cayden,Camper,,K,,95,So.,https://csurams.com/images/2020/9/26/Camper_Cayden.jpg?width=300
CSU_089,Robert,Liss,,K,,96,Fr.,https://csurams.com/images/2020/9/26/Liss_Robert.jpg?width=300
